TR:primary:CellLine,TR:hepg2:CellLine,TR:prihu:CellLine,TR:hep3b:CellLine,TR:huh7:CellLine,TR:focus:CellLine,TR:NOCYTO,TR:il1a,TR:tgfa,TR:il6,TR:ins,TR:tnfa,TR:NOINHIB,TR:pi3ki,TR:meki,TR:ikki,DA:akt,DA:erk,DA:gsk3,DA:ikb,DA:jnk,DA:p38,DA:p70s6,DA:p90rsk,DA:stat3,DA:cjun,DA:creb,DA:histh3,DA:hsp27,DA:irs1s,DA:mek,DA:p53,DA:stat2,DA:tyk2,DV:akt,DV:erk,DV:gsk3,DV:ikb,DV:jnk,DV:p38,DV:p70s6,DV:p90rsk,DV:stat3,DV:cjun,DV:creb,DV:histh3,DV:hsp27,DV:irs1s,DV:mek,DV:p53,DV:stat2,DV:tyk2
BOOLY_4Huh7_DME_IKK_c01rD,,,,1,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,4272,2486,271,200,81,11385,679,36,1443,119,677,763,2165,20392,636,164,3096
BOOLY_4Huh7_DME_PI3K+MEK_c01rE,,,,1,,1,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,2576,1539,614,371,353,5504,677,143,12617,195,2485,678,1458,27393,605,497,2885
BOOLY_4Huh7_DME_MEK+IKK_c01rF,,,,1,,1,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,1577,2970,491,380,227,9291,680,52,3144,127,716,716,2039,28087,709,463,3295
BOOLY_4Huh7_DME_IKK+PI3K_c01rG,,,,1,,1,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,3386,950,382,317,165,4499,572,51,2493,117,1033,868,2289,24338,998,296,3141
BOOLY_4Huh7_DME_PI3K+MEK+IKK_c01rH,,,,1,,1,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,1436,919,397,295,186,3369,533,37,2301,118,566,605,1292,28514,496,403,2447
BOOLY_4Huh7_DME_NOINH_c01rA,,,,1,,1,,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2628,4572,2464,403,282,154,11137,621,170,3372,223,2081,537,1718,20543,624,207,2597
BOOLY_4Huh7_DME_PI3K_c01rB,,,,1,,1,,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,484,5154,1711,398,239,83,7988,769,81,2404,142,2891,743,1624,22137,548,184,3447
BOOLY_4Huh7_DME_MEK_c01rC,,,,1,,1,,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6269,3083,6349,661,406,191,23663,971,109,16729,222,2584,952,3477,27786,807,469,3844
BOOLY_4Huh7_DME_IKK_c01rD,,,,1,,1,,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1759,4272,2486,271,200,81,11385,679,36,1443,119,677,763,2165,20392,636,164,3096
BOOLY_4Huh7_DME_PI3K+MEK_c01rE,,,,1,,1,,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1017,2576,1539,614,371,353,5504,677,143,12617,195,2485,678,1458,27393,605,497,2885
