ID:1,ID:2,ID:3,TR:HepG2:CellLine,TR:NOCYTO,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEK12i,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi-Gefin,DA:AKT (75),DA:ERK12 (38),DA:GSK3 (18),DA:Ikb (58),DA:JNK12 (34),DA:p38 (36),DA:p70S6 (55),DA:p90RSK (35),DA:STAT3 (52),DA:cJUN (56),DA:CREB (19),DA:HSP27 (51),DA:IRS1s (76),DA:MEK12 (40),DA:p53 (53),DV:AKT (75),DV:ERK12 (38),DV:GSK3 (18),DV:Ikb (58),DV:JNK12 (34),DV:p38 (36),DV:p70S6 (55),DV:p90RSK (35),DV:STAT3 (52),DV:cJUN (56),DV:CREB (19),DV:HSP27 (51),DV:IRS1s (76),DV:MEK12 (40),DV:p53 (53)
X34,B5,PL2_30min_X34_05B_TGFa_IKK,1,,1,,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3135,2555,1529,108,170.5,154,10650,1707,292.5,4349.5,587,268,4254.5,6776,962
X35,C5,PL2_30min_X35_05C_IL1a_IKK,1,,,1,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,771,931,1411,267,1958.5,1653,13247,892,180,10601,1947,5639,6549,4929,1244
X36,D5,PL2_30min_X36_05D_IGF_IKK,1,,,,1,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22962,720.5,2714.5,117.5,135.5,87,4735.5,563.5,368.5,3136.5,130,251,1578,3822.5,890
X37,E5,PL2_30min_X37_05E_IL6_IKK,1,,,,,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2004,1363,1438,122,150,80,6997,1203,14971,2882,296,260,2320.5,6046,673
X38,F5,PL2_30min_X38_05F_IGF_TGF_IKK,1,,1,,1,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23135,2853.5,3422,126.5,176,127,15915,1970.5,259.5,3767,851,260.5,4861,7635,763
X39,G5,PL2_30min_X39_05G_IL6_IL1a_IKK,1,,,1,,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,710,1614,1982.5,229,1854,1836,15486,1783,14626,10461,2583,6593,7072,6238,1292
X40,H5,PL2_30min_X40_05H_DME_IKK,1,1,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,542.5,581,119,135.5,75,2088,521.5,415,3102.5,115,301.5,1275,3456,969
X41,A6,PL2_30min_X41_06A_DME_GEFI,1,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,326,644,173,104,67.5,1326.5,469,235.5,2465,115,291,681,2388,403
X42,B6,PL2_30min_X42_06B_TGFa_GEFI,1,,1,,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3248,347,1091,139,103.5,60.5,1578,436,284,3048.5,108.5,268,928,2537,532.5
X43,C6,PL2_30min_X43_06C_IL1a_GEFI,1,,,1,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2270,788,905,4584,1986,2268,14057.5,654,152,15895,1887.5,3209.5,6844,5004,1233.5
