TR:1BRcell:CellLine,TR:no pep,TR:L0.04,TR:Q4,TR:L0.4,TR:L4,TR:Y4,DA:ERK1,DA:ERK2,DA:JNK1,DA:JNK3,DA:JNK2,DA:nNFAT,DA:IL-2,DA:Akt,DA:p38,DA:MK2,DA:IKK,DA:cNFAT,DV:ERK1,DV:ERK2,DV:JNK1,DV:JNK3,DV:JNK2,DV:nNFAT,DV:IL-2,DV:Akt,DV:p38,DV:MK2,DV:IKK,DV:cNFAT
1,,,,1,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,464.4,283.7,530.39,360.41,268.01,0,0,241.8,323.81,263.29,315.24,0
1,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.07,0.92,0.98,1.02,0.91,0,1.14,1.0,0,0,0.52
1,,,,1,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.81,1.23,1.08,2.79,1.66,5.51,0,1.23,1.93,0.92,0.96,3.74
1,,,,1,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,5.6,5.35,0.79,2.59,1.35,0.58,0,8.05,0.62,1.58,2.85,0.63
1,,,,1,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.1,4.21,0.87,2.57,1.41,0.67,0,13.14,1.3,1.98,0.87,0.9
1,,,,1,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,4.43,3.57,1.1,2.47,2.35,0.37,2.85,4.29,0.42,2.74,2.1,0.61
1,,,,1,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,6.75,7.01,0.55,3.75,1.44,0.88,0,13.77,1.16,1.64,3.38,0.87
1,,,,1,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,1170.7,1140.0,204.61,661.08,392.02,0,0,1954.3,199.75,448.41,575.82,0
1,,,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.85,0,1.0,1.0,0,0,0.69
1,,,,,1,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.93,14.07,0,0,0,1.01,0,2.74,1.71,4.92,0.91,0.74
1,,,,,1,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,12.41,6.93,0,0,0,1.02,0,3.42,1.18,1.98,0.9,0.79
1,,,,,1,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,16.78,10.26,0,0,0,2.51,0,3.97,1.87,5.77,1.37,1.41
1,,,,,1,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,5.57,2.21,0,0,0,0.69,1.14,1.99,0.39,2.57,1.16,0.49
1,,,,,1,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,7.76,5.13,0,0,0,1.24,0,3.62,1.03,1.45,0.94,0.85
1,,,,,1,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2478.5,1459.2,0,0,0,0,0,735.3,253.15,621.03,245.78,0
1,,,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13,0,0,1.0,0,0,0.01
1,,,,,1,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.14,2.37,1.45,1.28,1.52,0.4,0,0,1.52,1.52,0.63,6.41e-06
1,,,,,1,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,10.37,10.09,0.52,3.88,4.39,1.07,0,0,1.36,2.29,0.76,2.7
1,,,,,1,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10.6,11.12,1.22,3.84,3.6,5.92,0,0,2.03,3.52,0.71,1.13
