TR:PriHu:CellLine,TR:NOCYTO,TR:IFNG,TR:TNFA,TR:IL1A,TR:IL6,TR:IGF1,TR:TGFA,TR:lps,TR:NOINHIB,TR:MP2K2/MP2K1i,TR:p38i,TR:pi3ki,TR:ikki,TR:MTORi,TR:GSK3A/GSK3Bi,TR:MK08/MK09i,DA:akt,DA:MK03/MK01,DA:GSK3A/GSK3B,DA:IKBA,DA:KS6B1,DA:KS6A1,DA:STAT3,DA:JUN,DA:creb,DA:HSPB1,DA:IRS1_s,DA:MP2K2/MP2K1,DV:akt,DV:MK03/MK01,DV:GSK3A/GSK3B,DV:IKBA,DV:KS6B1,DV:KS6A1,DV:STAT3,DV:JUN,DV:creb,DV:HSPB1,DV:IRS1_s,DV:MP2K2/MP2K1
1, , , , , , ,1, , , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,10984,3228,2893,394,11616,1341,26,19775,1336,18933,2757,23748
1, , , , , , ,1, , , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,6983,4037,1738,331,8021,799,12,12677,1002,15391,1700,22613
1, , , , , , , ,1,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,10737,449,1820,2565,7597,311,35,22287,1048,23247,977,3047
1, , , , , , , ,1, ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,10990,78,1181,2198,8305,62,32,16785,554,23563,588,14976
1, , , , , , , ,1, , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,10278,214,801,2012,7339,324,34,22847,791,3429,1086,3143
1, , , , , , , ,1, , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,6141,427,925,2709,5977,352,28,22747,1128,23809,894,4249
1, , , , , , , ,1, , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,11782,306,1241,2072,10749,420,27,20434,1468,24133,1729,2199
1, , , , , , , ,1, , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,10548,222,988,1950,5068,289,30,19005,952,23655,1058,3024
1, , , , , , , ,1, , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,7246,219,1022,1604,6254,241,24,19162,874,23148,1114,2580
1, , , , , , , ,1, , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,5551,241,501,1264,1999,131,21,12811,629,21250,423,1340
1,1, , , , , , , ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4056,361,1296,370,3168,178,28,17417,666,6048,675,1958
1,1, , , , , , , , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,3146,139,1293,222,2258,94,22,15659,485,6703,595,14483
1,1, , , , , , , , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,3921,345,1348,245,2219,187,24,14066,413,1277,506,2237
1,1, , , , , , , , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,1581,317,652,135,986,107,18,12283,371,4805,486,1660
1,1, , , , , , , , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,1955,390,1059,27,3398,154,15,13054,692,18220,941,1302
1,1, , , , , , , , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,2137,352,1246,178,797,121,25,11734,445,4574,513,1758
1,1, , , , , , , , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,2944,367,1320,280,2437,170,23,14862,608,6075,633,1958
1,1, , , , , , , , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,1953,98,428,98,0,29,10,7971,405,7195,201,661
1, ,1, , , , , , ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,2521,260,1484,250,3116,148,43,15155,556,6012,800,2124
1, ,1, , , , , , , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,1913,131,1041,175,2440,114,47,12034,414,5266,601,10560
1, ,1, , , , , , , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,2023,324,1053,196,2095,164,60,14355,454,1295,692,2444
1, ,1, , , , , , , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,1455,280,743,211,2303,171,53,11619,419,5241,684,2103
