TR:HepG2:CellLine,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEKi,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi,DA:AKT,DA:ERK,DA:GSK3,DA:Ikb,DA:JNK,DA:p38,DA:p70S6,DA:p90RSK,DA:STAT3,DA:cJUN,DA:CREB,DA:HSP27 ,DA:IRS-1s ,DA:MEK ,DA:p53 ,DV:AKT ,DV:ERK ,DV:GSK3 ,DV:Ikb ,DV:JNK ,DV:p38 ,DV:p70S6 ,DV:p90RSK ,DV:STAT3 ,DV:cJUN ,DV:CREB ,DV:HSP27 ,DV:IRS-1s ,DV:MEK ,DV:p53 
1,,,1,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16332,156,1991,182,109,34,1889,225,259,1958,102.5,211,876,2642,520
1,,,,1,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8918.5,159.5,1024,185.5,137,57,1040,200.5,14858,2518.5,122,306,741,4374,474.5
1,1,,1,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25452,270,3264,227,179.5,75,4626.5,248.5,269,6211.5,156,262,1164.5,14758,547.5
1,,1,,1,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,11887.5,213,1004,4406,2475.5,1351,14533.5,225,14020,15298,1547,955,6663,10493,1345
1,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3268,144,655.5,174,118.5,43,756.5,198.5,269,2757,100,289,617,1959,565
1,,,,,,,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,540,933,104.5,123,38,1514.5,580,335,1577.5,116,225.5,852,2658.5,571
1,1,,,,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3028,2867.5,2111.5,124,162.5,90.5,10165,2106,264,4054,497,256,3824,5708,927.5
1,,1,,,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1430,546.5,878.5,275,1039,1001.5,8826,593,169,7692,946,468.5,4572.5,2371,976
1,,,1,,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20663.5,590,1219.5,105,130,59.5,3366,483,266,1759,109,204,1247.5,3059,597.5
1,,,,1,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,628.5,1091,1378,107.5,114.5,75,4550,1115,11625,1118,194,185,1734,3709,501
1,1,,1,,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22271.5,2549,2341,107.5,131,65,12508,1764,200,2840.5,650.5,215,4620,7170,684
1,,1,,1,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,794.5,1673.5,1046.5,261.5,1161,1492.5,12200,1216.5,12762,4896,1591,368,5236,5694,752
1,,,,,,,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,440.5,510.5,115,146,75,1735,499.5,576,2374,119,222,950.5,3345,776
1,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,413.5,1425.5,185,120,66,1739.5,483.5,237.5,2682,184,238,790.5,2682,441.5
1,1,,,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8278,1992.5,3267,182,143,133,11304,1861,165,3170,630,284,3964,6384,524
1,,1,,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2011,923,1368,4328.5,1915,2550,15637.5,1319,120,14445,2229,6486,6906,6204.5,909
1,,,1,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19491,415,2579,172,133.5,88.5,4521,518,287,2730,155,267,1210,3241,411.5
1,,,,1,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3634,1050,1253.5,187,141.5,346.5,7274.5,969,14752,2841,485,218,2245,4951,322
1,1,,1,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23501,2654,2795.5,168,133,105,14382.5,1933,156,4198.5,1116,213,4627,7730,461
1,,1,,1,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1117,1688,2110.5,6554,2313.5,2341,15940.5,2036,12546,19151,2929,5978.5,7629,7232,1069
